Terms,Frequency absolute,Frequency Relative
gg,26,"0,030334496155686"
MAIS,26,"0,030334496155686"
MEU,26,"0,030334496155686"
multiplica,26,"0,030334496155686"
p?,26,"0,030334496155686"
passar,26,"0,030334496155686"
pior,26,"0,030334496155686"
PIX,26,"0,030334496155686"
pouco,26,"0,030334496155686"
quero,26,"0,030334496155686"
saiu,26,"0,030334496155686"
sempre,26,"0,030334496155686"
skipnho,26,"0,030334496155686"
Sugar,26,"0,030334496155686"
TE,26,"0,030334496155686"
tempo,26,"0,030334496155686"
Thor,26,"0,030334496155686"
toda,26,"0,030334496155686"
UMA,26,"0,030334496155686"
19,25,"0,0291677847650827"
[Emote Personalizado 63],25,"0,0291677847650827"
AI,25,"0,0291677847650827"
bmw,25,"0,0291677847650827"
brabo,25,"0,0291677847650827"
CARA,25,"0,0291677847650827"
est?,25,"0,0291677847650827"
existe,25,"0,0291677847650827"
fire,25,"0,0291677847650827"
grana,25,"0,0291677847650827"
msm,25,"0,0291677847650827"
pegou,25,"0,0291677847650827"
pelo,25,"0,0291677847650827"
primeira,25,"0,0291677847650827"
recuperar,25,"0,0291677847650827"
time,25,"0,0291677847650827"
v?,25,"0,0291677847650827"
vcs,25,"0,0291677847650827"
virada,25,"0,0291677847650827"
vit?ria,25,"0,0291677847650827"
100k,24,"0,0280010733744794"
amanha,24,"0,0280010733744794"
call,24,"0,0280010733744794"
gabepeixeFuja,24,"0,0280010733744794"
kkkkkkkkkkkkkkkkkkkkkkkk,24,"0,0280010733744794"
kkkkkkkkkkkkkkkkkkkkkkkkkk,24,"0,0280010733744794"
"mano,",24,"0,0280010733744794"
of,24,"0,0280010733744794"
olho,24,"0,0280010733744794"
pecado,24,"0,0280010733744794"
PRECHECO,24,"0,0280010733744794"
quiser,24,"0,0280010733744794"
ruim,24,"0,0280010733744794"
sao,24,"0,0280010733744794"
t?o,24,"0,0280010733744794"
the,24,"0,0280010733744794"
vez,24,"0,0280010733744794"
voltou,24,"0,0280010733744794"
!contrato,23,"0,026834361983876"
???,23,"0,026834361983876"
[Emote Personalizado 18],23,"0,026834361983876"
[Emote Personalizado 47],23,"0,026834361983876"
aquele,23,"0,026834361983876"
bota,23,"0,026834361983876"
dps,23,"0,026834361983876"
Esse,23,"0,026834361983876"
FOI,23,"0,026834361983876"
fumo,23,"0,026834361983876"
ganhei,23,"0,026834361983876"
J?,23,"0,026834361983876"
jato,23,"0,026834361983876"
LuvHearts,23,"0,026834361983876"
N,23,"0,026834361983876"
N?O,23,"0,026834361983876"
nas,23,"0,026834361983876"
nova,23,"0,026834361983876"
onde,23,"0,026834361983876"
rapido,23,"0,026834361983876"
Se,23,"0,026834361983876"
Tier,23,"0,026834361983876"
1,22,"0,0256676505932727"
12,22,"0,0256676505932727"
20,22,"0,0256676505932727"
300,22,"0,0256676505932727"
Cabrito,22,"0,0256676505932727"
cebo,22,"0,0256676505932727"
ent?o,22,"0,0256676505932727"
errado,22,"0,0256676505932727"
